FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
39,0,0,33.37,55.31,72.41,70.69,66.67,61.40,57.63,46.43,39.66,25.86,1844,1844,1844,1844,1268,1268,1268,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.53,53.56,67.27,59.26,58.18,54.55,68.33,46.43,55.74,22.95,1623,1623,1623,1623,1536,1536,1536,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.53,53.59,69.49,56.60,58.18,54.55,64.29,50.00,43.55,38.33,1844,1844,1844,1844,2228,2228,2228,2500,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.63,53.32,57.78,55.56,47.92,44.44,50.00,40.38,30.77,98.08,1508,1508,1508,1508,2400,2400,2400,2583,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.63,51.74,62.90,57.58,50.79,47.46,46.88,47.76,52.24,48.48,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
41,0,0,49.99,45.65,70.69,61.40,56.36,50.91,59.65,40.68,20.00,9.84,1623,1623,1623,1623,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
41,0,0,49.99,50.89,74.58,66.04,64.81,59.62,63.33,44.64,28.57,6.90,1844,1844,1844,1844,1037,1037,1037,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.00,52.33,70.18,59.65,57.89,56.90,69.64,47.54,38.71,16.39,1844,1844,1844,1844,2132,2132,2132,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.00,50.55,70.37,59.26,57.41,50.98,66.67,50.88,33.33,16.67,999,999,999,999,912,912,912,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,0,0,33.36,55.82,74.55,60.42,62.00,62.00,66.04,57.41,47.27,21.43,1844,1844,1844,1844,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,0,0,33.36,49.11,68.25,57.38,51.72,49.15,64.18,60.00,24.62,15.63,1623,1623,1623,1623,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,49.99,49.57,67.27,60.00,60.71,50.94,57.38,51.72,45.00,5.00,1392,1392,1392,1392,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,49.99,50.90,70.37,59.62,62.26,60.00,60.34,42.11,42.37,15.00,1133,1133,1133,1133,1037,1037,1037,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,2,0,50.01,49.45,72.41,56.86,57.14,51.92,60.00,51.67,37.29,14.52,1508,1508,1508,1508,1978,1978,1978,1997,-1.00,-1.00,-1,81,33.00,0,4.093
40,2,0,50.01,49.35,70.00,57.41,57.14,52.83,66.67,46.77,37.10,17.74,1623,1623,1623,1623,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.37,50.98,69.81,60.42,58.33,58.49,73.58,37.25,40.00,13.46,1392,1392,1392,1392,1037,1037,1037,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.37,45.89,69.84,61.29,55.00,47.27,65.08,31.75,30.30,10.14,1748,1748,1748,1748,2132,2132,2132,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,2,0,50.00,50.98,67.92,64.91,60.34,53.70,65.52,43.33,46.67,10.00,1268,1268,1268,1268,2228,2228,2228,2362,-1.00,-1.00,-1,81,33.00,0,4.093
39,2,0,50.00,53.55,74.19,61.40,57.89,54.55,57.63,49.12,42.37,28.81,1623,1623,1623,1623,1268,1268,1268,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.38,51.30,67.86,60.34,53.70,53.70,67.21,44.83,40.32,24.59,1844,1844,1844,1844,2132,2132,2132,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.38,49.36,67.86,61.02,52.73,54.39,58.62,54.10,36.07,15.00,1623,1623,1623,1623,1268,1268,1268,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,0,0,33.37,50.86,66.67,59.18,52.17,48.94,64.81,51.92,44.44,18.18,1268,1268,1268,1268,1536,1536,1536,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,0,0,33.37,48.43,68.25,55.93,53.33,53.97,64.71,50.00,36.36,14.71,1748,1748,1748,1748,1844,1844,1844,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.03,50.00,70.69,58.62,53.70,52.73,62.30,42.37,40.68,20.00,1748,1748,1748,1748,1978,1978,1978,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.03,51.84,71.43,60.71,57.41,56.14,66.10,53.33,35.48,16.39,1748,1748,1748,1748,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.36,50.00,64.91,54.72,53.57,48.08,66.10,47.62,42.62,21.67,1623,1623,1623,1623,1978,1978,1978,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.36,48.35,66.67,58.49,50.91,45.10,63.93,47.37,40.98,18.33,1392,1392,1392,1392,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.41,50.00,72.92,60.42,55.32,55.10,68.63,45.10,47.06,0.00,1392,1392,1392,1392,1690,1690,1690,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.41,48.76,67.69,54.10,53.85,51.56,57.58,50.75,53.73,0.00,1268,1268,1268,1268,1536,1536,1536,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,0,0,33.45,48.83,68.42,61.40,57.14,55.00,63.33,53.33,36.07,0.00,1133,1133,1133,1133,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,0,0,33.45,49.46,67.27,56.36,50.00,50.00,66.10,57.63,50.00,0.00,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.42,49.04,70.69,59.65,52.83,56.14,60.32,53.45,39.34,0.00,1392,1392,1392,1392,1690,1690,1690,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.42,47.95,68.42,56.60,53.57,50.00,69.35,51.67,33.33,0.00,1508,1508,1508,1508,912,912,912,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.37,50.13,69.39,58.33,55.32,53.19,58.33,62.50,48.00,0.00,999,999,999,999,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.37,48.38,68.66,52.54,53.23,50.79,65.71,60.56,37.68,0.00,1508,1508,1508,1508,1690,1690,1690,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,0,0,33.39,48.79,67.27,58.18,57.14,49.02,61.40,61.82,40.98,0.00,1623,1623,1623,1623,1978,1978,1978,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,0,0,33.39,50.22,66.67,60.38,57.41,57.41,61.40,61.67,37.70,8.06,1844,1844,1844,1844,1152,1152,1152,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.37,48.36,68.52,55.56,57.14,50.91,60.71,52.54,34.43,13.11,1844,1844,1844,1844,1978,1978,1978,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.37,47.73,66.67,56.14,54.55,54.24,64.41,44.07,31.15,11.86,1392,1392,1392,1392,1152,1152,1152,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.57,51.65,65.22,60.00,53.33,52.17,68.63,56.86,39.62,19.23,1133,1133,1133,1133,1536,1536,1536,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.57,48.12,65.15,55.56,54.41,46.67,70.15,47.83,38.89,12.86,1133,1133,1133,1133,1690,1690,1690,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,1,0,50.02,47.17,60.00,53.57,51.92,48.21,63.93,46.55,41.27,16.13,1392,1392,1392,1392,1536,1536,1536,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,1,0,50.02,51.17,62.26,61.40,55.74,49.09,66.10,47.46,45.76,21.67,1392,1392,1392,1392,1268,1268,1268,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.37,49.23,66.67,50.94,55.36,50.00,59.65,59.02,36.67,16.39,1392,1392,1392,1392,1844,1844,1844,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.37,49.24,66.67,56.60,58.62,48.15,66.67,55.17,32.79,13.33,1268,1268,1268,1268,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,0,0,33.36,49.89,67.80,55.36,55.36,52.63,67.80,45.90,40.98,16.67,1133,1133,1133,1133,1536,1536,1536,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,0,0,33.36,46.20,65.52,55.17,50.00,49.12,60.34,50.82,27.12,15.00,1508,1508,1508,1508,2132,2132,2132,1632,-1.00,-1.00,-1,81,32.00,0,4.093
39,1,0,50.00,48.70,70.18,56.36,53.57,52.83,62.07,46.67,37.70,16.13,1133,1133,1133,1133,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.093
39,1,0,50.00,49.89,66.07,56.00,56.36,55.36,65.52,50.85,35.59,16.39,1508,1508,1508,1508,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.38,49.14,64.91,53.70,54.39,50.00,63.79,50.85,37.70,18.33,1392,1392,1392,1392,1978,1978,1978,2112,-1.00,-1.00,-1,81,32.00,0,4.093
40,0,0,33.38,48.81,67.86,58.18,50.91,52.73,65.00,50.00,27.87,19.67,864,864,864,864,1037,1037,1037,1498,-1.00,-1.00,-1,81,32.00,0,4.093
