FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
40,4,0,50.07,61.70,72.22,69.49,70.69,65.45,46.55,40.68,34.43,91.80,1392,1392,1392,1392,2228,2228,2228,2583,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.40,60.38,78.33,72.41,71.43,69.64,52.54,41.38,50.00,45.00,1844,1844,1844,1844,1844,1844,1844,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,0,0,33.40,54.61,78.18,71.43,70.18,73.68,56.90,39.34,35.71,10.53,1623,1623,1623,1623,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.05,54.19,78.69,73.21,72.73,72.41,57.38,39.66,33.87,7.02,1392,1392,1392,1392,1536,1536,1536,1498,-1.00,-1.00,-1,81,33.00,0,4.093
40,1,0,50.05,52.34,77.19,72.73,68.63,71.93,49.09,43.10,24.56,9.09,1508,1508,1508,1508,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,1,0,50.03,58.94,81.36,75.81,75.44,74.60,62.90,50.79,40.63,16.92,1748,1748,1748,1748,1690,1690,1690,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,1,0,50.03,59.01,79.66,74.14,75.93,73.68,60.00,47.46,41.38,22.41,1268,1268,1268,1268,1536,1536,1536,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,2,0,66.67,69.40,80.00,76.79,76.36,75.86,70.69,50.00,56.14,71.67,1844,1844,1844,1844,2333,2333,2333,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,2,0,66.67,60.67,68.97,67.21,67.80,66.67,49.18,45.00,32.26,91.38,1844,1844,1844,1844,2400,2400,2400,1748,-1.00,-1.00,-1,81,33.00,0,4.093
22,3,1,149.99,73.17,74.55,72.41,71.93,70.37,75.00,66.07,63.79,89.47,1392,1392,1392,1392,2228,2228,2228,1997,-1.00,-1.00,-1,81,33.00,0,4.093
22,3,1,149.99,63.18,79.63,74.55,76.79,75.93,65.52,54.55,46.30,32.14,1392,1392,1392,1392,2400,2400,2400,1632,-1.00,-1.00,-1,81,33.00,0,4.093
38,1,1,116.74,56.82,76.67,71.67,68.42,70.00,67.19,51.56,34.38,20.00,1844,1844,1844,1844,1844,1844,1844,1498,-1.00,-1.00,-1,81,33.00,0,4.093
38,1,1,116.74,65.81,80.70,77.19,79.31,76.79,62.07,59.68,52.54,40.68,1748,1748,1748,1748,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
41,3,1,83.36,64.81,80.00,77.19,81.36,78.95,64.41,56.67,47.54,32.20,1844,1844,1844,1844,2228,2228,2228,2247,-1.00,-1.00,-1,81,33.00,0,4.093
41,3,1,83.36,68.99,83.93,79.66,81.36,79.31,72.58,67.80,51.61,42.37,1392,1392,1392,1392,2228,2228,2228,2583,-1.00,-1.00,-1,81,33.00,0,4.093
41,3,0,50.02,68.11,80.00,73.68,74.55,75.44,58.33,53.23,48.28,86.44,1844,1844,1844,1844,2228,2228,2228,2583,-1.00,-1.00,-1,81,33.00,0,4.093
41,3,0,50.02,66.89,78.57,73.21,75.93,76.36,63.79,54.55,37.50,76.36,1623,1623,1623,1623,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,2,2,116.68,62.70,81.67,75.81,73.77,72.58,68.25,54.10,43.33,33.87,1844,1844,1844,1844,1978,1978,1978,1498,-1.00,-1.00,-1,81,33.00,0,4.093
39,2,2,116.68,60.04,79.31,73.21,74.55,75.00,68.85,55.17,36.21,18.64,1748,1748,1748,1748,2333,2333,2333,1498,-1.00,-1.00,-1,81,33.00,0,4.093
35,4,1,100.01,63.07,79.31,72.88,74.14,73.68,70.69,61.02,44.07,36.07,1844,1844,1844,1844,2228,2228,2228,2500,-1.00,-1.00,-1,81,33.00,0,4.093
35,4,1,100.01,66.67,80.70,76.79,78.95,77.19,73.33,56.14,47.54,39.66,1844,1844,1844,1844,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.093
